date,id,content,username,filtered_tokens,preprocessed_text
2023-03-28 10:05:14+00:00,1640656282032959490,"Tume ya Umoja wa Afrika yaomba utulivu Kenya huku maandamano dhidi ya serikali yakiendelea
https://t.co/qJRXkBWcE2 https://t.co/xtH0T3b9gm",bbcswahili,"['tume', 'umoja', 'afrika', 'yaomba', 'utulivu', 'kenya', 'huku', 'maandamano', 'dhidi', 'serikali', 'yakiendelea', 'https://t.co/qjrxkbwce2', 'https://t.co/xth0t3b9gm']",tume umoja afrika yaomba utulivu kenya huku maandamano dhidi serikali yakiendelea https://t.co/qjrxkbwce2 https://t.co/xth0t3b9gm
2023-03-28 09:30:06+00:00,1640647443124482048,"Chuo Kikuu SAUT chabatilisha shahada 162 za madaktari
https://t.co/PMuGI2Xot5 https://t.co/Z8PEdR6XJa",bbcswahili,"['chuo', 'kikuu', 'saut', 'chabatilisha', 'shahada', '162', 'madaktari', 'https://t.co/pmugi2xot5', 'https://t.co/z8pedr6xja']",chuo kikuu saut chabatilisha shahada 162 madaktari https://t.co/pmugi2xot5 https://t.co/z8pedr6xja
2023-03-28 09:00:07+00:00,1640639894618816514,"Nchi 10 ambazo watu wanaishi muda mrefu zaidi na kile tunachoweza kujifunza  
https://t.co/QXeTmZMrX5",bbcswahili,"['nchi', '10', 'ambazo', 'watu', 'wanaishi', 'muda', 'mrefu', 'kile', 'tunachoweza', 'kujifunza', 'https://t.co/qxetmzmrx5']",nchi 10 ambazo watu wanaishi muda mrefu kile tunachoweza kujifunza https://t.co/qxetmzmrx5
2023-03-28 08:00:42+00:00,1640624945339179009,"Tazama kifaa hiki cha kubusu kwa wenza walio mbali
https://t.co/YR4Ij93DNk",bbcswahili,"['tazama', 'kifaa', 'hiki', 'cha', 'kubusu', 'wenza', 'walio', 'mbali', 'https://t.co/yr4ij93dnk']",tazama kifaa hiki cha kubusu wenza walio mbali https://t.co/yr4ij93dnk
2023-03-28 07:30:05+00:00,1640617238376923136,"Humza Yousaf: Kiongozi wa kwanza kutoka makabila madogo  kuongoza chama kikuu Scotland
https://t.co/W0jDe0L8rq https://t.co/k8Bo11D1fl",bbcswahili,"['humza', 'yousaf:', 'kiongozi', 'kwanza', 'kutoka', 'makabila', 'madogo', 'kuongoza', 'chama', 'kikuu', 'scotland', 'https://t.co/w0jde0l8rq', 'https://t.co/k8bo11d1fl']",humza yousaf: kiongozi kwanza kutoka makabila madogo kuongoza chama kikuu scotland https://t.co/w0jde0l8rq https://t.co/k8bo11d1fl
2023-03-28 07:06:13+00:00,1640611233693925376,"Hatari: Tazama jinsi  mtu huyu nchini DRC atlivyotumia mikono mitupu kuwaokoa wachimbaji dhahabu waliokuwa wamenaswa kwenye udongo
https://t.co/K4gRdRCrP6 https://t.co/QH2uwzo4Ge",bbcswahili,"['hatari:', 'tazama', 'jinsi', 'mtu', 'huyu', 'nchini', 'drc', 'atlivyotumia', 'mikono', 'mitupu', 'kuwaokoa', 'wachimbaji', 'dhahabu', 'waliokuwa', 'wamenaswa', 'kweny', 'udongo', 'https://t.co/k4grdrcrp6', 'https://t.co/qh2uwzo4g']",hatari: tazama jinsi mtu huyu nchini drc atlivyotumia mikono mitupu kuwaokoa wachimbaji dhahabu waliokuwa wamenaswa kweny udongo https://t.co/k4grdrcrp6 https://t.co/qh2uwzo4g
2023-03-28 06:30:11+00:00,1640602162630647811,"Shujaa wa  filamu ya ‘Hotel Rwanda’ atua Qatar baada ya kuachiliwa huru
https://t.co/sbHG7l3BOL https://t.co/JjKiKrAZi8",bbcswahili,"['shujaa', 'filamu', '‘hotel', 'rwanda’', 'atua', 'qatar', 'baada', 'kuachiliwa', 'huru', 'https://t.co/sbhg7l3bol', 'https://t.co/jjkikrazi8']",shujaa filamu ‘hotel rwanda’ atua qatar baada kuachiliwa huru https://t.co/sbhg7l3bol https://t.co/jjkikrazi8
2023-03-28 06:05:26+00:00,1640595935842451457,"Bahati ya mtende?Mchimba dhahabu wa Australia apata jiwe la kilo 4.6 la dhababu
https://t.co/lRL38C4aTz https://t.co/pwRPqYfnvE",bbcswahili,"['bahati', 'mtende?mchimba', 'dhahabu', 'australia', 'apata', 'jiw', 'la', 'kilo', '4.6', 'la', 'dhababu', 'https://t.co/lrl38c4atz', 'https://t.co/pwrpqyfnv']",bahati mtende?mchimba dhahabu australia apata jiw la kilo 4.6 la dhababu https://t.co/lrl38c4atz https://t.co/pwrpqyfnv
2023-03-28 05:30:04+00:00,1640587034757562368,"Maandamano ya Israel: Waziri Mkuu Netanyahu achelewesha mageuzi ya kisheria baada ya siku ya mgomo
https://t.co/Qf9b9hSbz2 https://t.co/3gNeW94gKd",bbcswahili,"['maandamano', 'israel:', 'waziri', 'mkuu', 'netanyahu', 'achelewesha', 'mageuzi', 'kisheria', 'baada', 'siku', 'mgomo', 'https://t.co/qf9b9hsbz2', 'https://t.co/3gnew94gkd']",maandamano israel: waziri mkuu netanyahu achelewesha mageuzi kisheria baada siku mgomo https://t.co/qf9b9hsbz2 https://t.co/3gnew94gkd
2023-03-28 05:15:02+00:00,1640583252606943232,"Humza Yousaf, kiongozi mpya wa   SNP ni nani?
https://t.co/TEyaywPdbd",bbcswahili,"['humza', 'yousaf,', 'kiongozi', 'mpya', 'snp', 'nani?', 'https://t.co/teyaywpdbd']","humza yousaf, kiongozi mpya snp nani? https://t.co/teyaywpdbd"
2023-03-28 04:30:09+00:00,1640571957866291202,"Sita wauawa wakiwemo watoto  watatu katika shambulizi la bunduki shuleni nchini Marekani 
https://t.co/ZcrRGywp8b https://t.co/q3QRIlwLTe",bbcswahili,"['sita', 'wauawa', 'wakiwemo', 'watoto', 'watatu', 'katika', 'shambulizi', 'la', 'bunduki', 'shuleni', 'nchini', 'marekani', 'https://t.co/zcrrgywp8b', 'https://t.co/q3qrilwlt']",sita wauawa wakiwemo watoto watatu katika shambulizi la bunduki shuleni nchini marekani https://t.co/zcrrgywp8b https://t.co/q3qrilwlt
2023-03-28 04:00:11+00:00,1640564414981062656,"Majaribio mfululizo ya makombora ya Korea Kaskazini yana maana gani?
https://t.co/gE2tFM3DNM",bbcswahili,"['majaribio', 'mfululizo', 'makombora', 'korea', 'kaskazini', 'yana', 'maana', 'gani?', 'https://t.co/ge2tfm3dnm']",majaribio mfululizo makombora korea kaskazini yana maana gani? https://t.co/ge2tfm3dnm
2023-03-28 03:30:05+00:00,1640556842202824706,"Kiongozi wa upinzani Kenya Raila Odinga asema yuko tayari kuzungumza na Rais Ruto lakini kwa masharti.
https://t.co/12TpwS41BP",bbcswahili,"['kiongozi', 'upinzani', 'kenya', 'raila', 'odinga', 'asema', 'yuko', 'tayari', 'kuzungumza', 'rai', 'ruto', 'lakini', 'masharti.', 'https://t.co/12tpws41bp']",kiongozi upinzani kenya raila odinga asema yuko tayari kuzungumza rai ruto lakini masharti. https://t.co/12tpws41bp
2023-03-28 03:00:14+00:00,1640549327440322561,"Wakati Man City ikigoma kumuuza Phillips, Chelsea 'wahaha' na Kante wao
https://t.co/gpJeMtwypD",bbcswahili,"['wakati', 'man', 'citi', 'ikigoma', 'kumuuza', 'phillips,', 'chelsea', ""'wahaha'"", 'kant', 'wao', 'https://t.co/gpjemtwypd']","wakati man citi ikigoma kumuuza phillips, chelsea 'wahaha' kant wao https://t.co/gpjemtwypd"
2023-03-27 19:48:11+00:00,1640440598548062214,"Sayari kubwa ya kutosha kuharibu jiji kwa mfano Dar es Salaam ama Nairobi iwapo itaanguka yagunduliwa

https://t.co/duuEpwtxZw",bbcswahili,"['sayari', 'kubwa', 'kutosha', 'kuharibu', 'jiji', 'mfano', 'dar', 'es', 'salaam', 'ama', 'nairobi', 'iwapo', 'itaanguka', 'yagunduliwa', 'https://t.co/duuepwtxzw']",sayari kubwa kutosha kuharibu jiji mfano dar es salaam ama nairobi iwapo itaanguka yagunduliwa https://t.co/duuepwtxzw
2023-03-27 19:00:14+00:00,1640428531380305925,"Je kifaa hiki ndio suluhu ya wapenzi walio mbali

https://t.co/F3WnDOiQ4v",bbcswahili,"['je', 'kifaa', 'hiki', 'ndio', 'suluhu', 'wapenzi', 'walio', 'mbali', 'https://t.co/f3wndoiq4v']",je kifaa hiki ndio suluhu wapenzi walio mbali https://t.co/f3wndoiq4v
2023-03-27 18:30:07+00:00,1640420953304776718,"Harakati za Raila Odinga na wenzake kuongoza maandamano katikati ya mji wa Nairobi zaambulia patupu

https://t.co/PoFLf4GehJ",bbcswahili,"['harakati', 'raila', 'odinga', 'wenzak', 'kuongoza', 'maandamano', 'katikati', 'mji', 'nairobi', 'zaambulia', 'patupu', 'https://t.co/poflf4gehj']",harakati raila odinga wenzak kuongoza maandamano katikati mji nairobi zaambulia patupu https://t.co/poflf4gehj
2023-03-27 18:05:42+00:00,1640414807542095877,"Fahamu vyakula ambavyo vikichanganyika tumboni mwako hugeuka na kuwa sumu

https://t.co/pSgZ430OaZ",bbcswahili,"['fahamu', 'vyakula', 'ambavyo', 'vikichanganyika', 'tumboni', 'mwako', 'hugeuka', 'kuwa', 'sumu', 'https://t.co/psgz430oaz']",fahamu vyakula ambavyo vikichanganyika tumboni mwako hugeuka kuwa sumu https://t.co/psgz430oaz
2023-03-27 17:30:13+00:00,1640405877998993438,"Chelsea wako tayari kutoa euro milioni 100 kumnunua mshambuliaji wa Nigeria Victor Osimhen, 24, wa Napoli.

https://t.co/dpzaypouqw",bbcswahili,"['chelsea', 'wako', 'tayari', 'kutoa', 'euro', 'milioni', '100', 'kumnunua', 'mshambuliaji', 'nigeria', 'victor', 'osimhen,', '24,', 'napoli.', 'https://t.co/dpzaypouqw']","chelsea wako tayari kutoa euro milioni 100 kumnunua mshambuliaji nigeria victor osimhen, 24, napoli. https://t.co/dpzaypouqw"
