date,id,content,username
2022-07-02 16:16:59+00:00,1543267499684282373,@citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi niko na miaka 10 kwa ndoa na nilimwoa msichana sasa ni bibi wangu akiwa na umri mdogo 15 ✊✊,Chesingak
2022-07-02 16:16:44+00:00,1543267437356908544,@citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi niko na miaka 10 kwa ndoa na nilimwoa msichana sasa ni bibi wangu akiwa na umri mdogo 15 ✊✊,Chesingak
2022-06-24 16:09:26+00:00,1540366498891550722,"@MKapombe
Combo cha kukoroga unga ngano na viongezeo vingine kinaitwa ""Kichanganyo""
David from Kakamega
#NipasheWikendi",MachokaMr
2022-06-19 16:34:07+00:00,1538560768823775235,@citizentvkenya  happy fathers day to Stanley Barasa from kawalun village Teso North and I myself Baraza Etiang here at salgaa Nakuru.#NipasheWikendi,Etyang0001
2022-06-19 16:16:44+00:00,1538556395355787270,"Sisi siku za kitaifa,hatutambuliwi, like happy father day,I have not been told anything from my wife, only my daughter amenichumia maua akaniletea,na akasema happy fathers day am proud of her. #NipasheWikendi",tabuka_michael
2022-06-19 16:08:42+00:00,1538554374045192192,"@citizentvkenya happy father's day to my my biological father Christopher mutiso Mackenzie
Hope he had it Big and great
Am Mathew ndunda mutiso from Nairobi Kenya
#NipasheWikendi",Smithrowe14
2022-06-11 16:28:44+00:00,1535660313642733568,"@citizentvkenya Watching from Katakwa Teso
#NipasheWikendi",EkapelCharles
2022-06-04 16:24:16+00:00,1533122476015853570,"@citizentvkenya @RashidAbdalla @LuluHassan Thank you for placing Kenya Kwanza news in the prime news category today.

We have missed this for a long time.

From 06:59 PM to 07:15 PM. 😊💪💪

#NipasheWikendi https://t.co/a4SW4eFjOa",CaptainKipkorir
2022-05-29 16:31:33+00:00,1530949978910343168,"@JembeniL @Emeje5 @citizentvkenya @RashidAbdalla @LuluHassan @RashidAbdalla @citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi
Tafadhali serikali iweke usalama wa kutosha marakweet wahusika wachukuliwe hatua kali ya sheria",Chesingak
2022-05-29 16:26:26+00:00,1530948692613771265,"@LuluHassan @RashidAbdalla @citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi
Tafadhali serikali iweke usalama wa kutosha marakweet wahusika wachukuliwe hatua kali ya sheria",Chesingak
2022-05-29 16:17:05+00:00,1530946337461739520,"@RashidAbdalla @citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi
Tafadhali serikali iweke usalama wa kutosha marakweet wahusika wachukuliwe hatua kali ya sheria",Chesingak
2022-05-29 16:16:56+00:00,1530946303353532417,"@LuluHassan @citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi
Tafadhali serikali iweke usalama wa kutosha marakweet wahusika wachukuliwe hatua kali ya sheria",Chesingak
2022-05-29 16:16:29+00:00,1530946188341436417,"@citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi
Tafadhali serikali iweke usalama wa kutosha marakweet wahusika wachukuliwe hatua kali ya sheria",Chesingak
2022-05-29 16:12:25+00:00,1530945162578378752,@citizentvkenya #Nipashewikendi @LuluHassan @RashidAbdalla Watching from kiptulus Nandi,Chesingak
2022-05-21 16:04:02+00:00,1528043951193837569,#NipasheWikendi  USAFI KWA WANAUME NI KAMA MAFUTA NA MAJI MAANA WASIPOKUWA NA WASAIDIZI (MKE) BASI TUSEME YOTE NI VANITY!!TWAJIVUNIA KUWA WAKE SENT FROM HEAVEN NA TUHESHIMIWE SANA!!🤙 @citizentvkenya @RashidAbdalla @LuluHassan,MomShannyz
2022-05-13 16:23:22+00:00,1525149716413140992,@citizentvkenya Following from Njoro Sub County #nipashewikendi,AludaMika
2022-05-07 16:28:33+00:00,1522976691609550848,#nipashewikendi @citizentvkenya  kwani bado kuna mapenzi sikuizi  Paul makenzi  from kakamega,marckencie
2022-05-01 16:17:01+00:00,1520799462595219456,"#NipasheWikendi there is a team of two or three police officers that n every station who go around every joint, from clubs and wines and spirits, they always do so between 6:30-8,
Thats the Nairobi for you",bbonysir
2022-04-29 16:16:26+00:00,1520074539643846657,@citizentvkenya @WaihigaMwaura The winning is yours But let the station refrain from being partisan on one side of political line @RailaOdinga  and be ready to bag all #KuzaAwards2022 . You're made to win #NipasheWikendi,gitonga254_paul
2022-04-02 16:22:52+00:00,1510291688006336514,@citizentvkenya @LuluHassan @RashidAbdalla Following from Njoro Sub County #NipasheWikendi,AludaMika
2022-04-02 16:17:59+00:00,1510290455627538435,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2022-03-27 16:56:26+00:00,1508125807444639749,"I happen to know a friend from Marsabit, whose relative, a 14-year-old, is admitted at KNH with three bullets in the head 

#makovuyaukabila 

@hassanmugambi @LuluHassan @citizentvkenya 

#NipasheWikendi",FrankOrinde
2022-03-27 16:38:24+00:00,1508121268079542273,#NipasheWikendi on the issue of clashes let the govt divide off whole of the land and issues title deeds. The idea of community ownership of land isn't working..let residents device other activities away from pastoralism..eg bring up dams for agric,e_maiso
2022-03-26 16:45:01+00:00,1507760544840888326,@citizentvkenya These men that runs away from responsibilities  should be on the front line waiting for this contraceptive #NipasheWikendi  @LuluHassan @RashidAbdalla,JaydeKimani
2022-03-19 16:40:27+00:00,1505222681305702401,"@citizentvkenya Equinox is when the LENGTH of days and nights IS EQUAL ie equinox
It can also be described as the period when the sun is overhead at the equator, meaning that places near the equator tent to experience high temperature range from the usual. Mugai Kabras watching.
#NipasheWikendi",MarkMurunga1
2022-03-12 16:55:00+00:00,1502689628205326339,Lulu kauli zako ngumu bana .wewe basi umeshushwa direct from heaven.unataka kujuwa mumeo alikuepo na nani eti 🤣 @RashidAbdalla @LuluHassan @citizentvkenya #Nipashewikendi,Gracetoroitich1
2022-03-12 16:49:49+00:00,1502688323864780800,"@citizentvkenya yaliyopita hakuna haja ya kuelezea tena, utavunja imani kwenye mahusiano yenu punde tu utamuelezea mpenzi wako kuhusi yule ulie kuwa nae awali, watching from kibomet kitale
#nipashewikendi",GazarKing
2022-02-06 15:59:52+00:00,1490354566382211079,"@citizentvkenya 
@LuluHassan 
@RashidAbdalla 
#nipashewikendi
Fisi hakuwa na shida , Following from kona mbaya jua kali turbo",bitok_brayo
2022-02-05 16:08:34+00:00,1489994367779627009,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2022-01-29 16:04:54+00:00,1487456730342735875,"@citizentvkenya @RashidAbdalla  watching live from Endebess ,, Natembeya Transnzoia county mambo itakua ngumu Sana #NipasheWikendi",Chesongol_J
2022-01-22 16:30:59+00:00,1484926578392018953,"@citizentvkenya You are doing a good job, but having Ben Kirui report from inside a classroom with a teacher teaching is wrong
#NipasheWikendi",maerowaka
2022-01-21 16:09:14+00:00,1484558716208881668,"@citizentvkenya Watching live from kimose near Emining ,, #Nipashewikendi",DenooPogba10
2022-01-21 16:08:38+00:00,1484558564899364869,"#NipasheWikendi watching live from kimose near Emining ,,",DenooPogba10
2022-01-08 16:10:30+00:00,1479847993620811782,"@citizentvkenya @LuluHassan  @RashidAbdalla   Watching from Endebess ,, Nini inaendelea Kenya yetu ni vifo tu kila uchao ,, #NipasheWikendi",Chesongol_J
2022-01-01 16:26:02+00:00,1477315187027988484,@citizentvkenya Watching from Njoro Sub County #NipasheWikendi,AludaMika
2022-01-01 16:25:30+00:00,1477315053921656834,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2021-12-31 16:22:55+00:00,1476952013040762885,@citizentvkenya All the way from bukura kakamega county Niko tuned.#nipashewikendi,AmasongoleJ
2021-11-27 16:03:59+00:00,1464626061396828166,@citizentvkenya @RashidAbdalla @LuluHassan Watching live from Nairobi kibera slums #nipashewikendi,HMalumu
2021-11-21 16:29:50+00:00,1462458239098970117,"@DrGoaMmoja @citizentvkenya @LuluHassan Heko Heko kwa serikali @citizentvkenya @LuluHassan Watching from Kaboi kiptulus Nandi
Naunga mkono chanjo ikuwe lazima kwa kila mtu hapa Nchini #NipasheWikendi",Chesingak
2021-11-21 16:13:38+00:00,1462454164907347973,"@DrGoaMmoja @citizentvkenya @LuluHassan Heko Heko kwa serikali @citizentvkenya @LuluHassan Watching from Kaboi kiptulus Nandi
Naunga mkono chanjo ikuwe lazima kwa kila mtu hapa Nchini #NipasheWikendi",Chesingak
2021-11-21 16:10:15+00:00,1462453312108781578,"@citizentvkenya @LuluHassan Hiyo ni hatua nzuri sana...watu wajitokeze waanze kuchanjwa sasa..Bila chanjo hakuna huduma,suluhisho ni kuchukua chanjo ili upate cheti...tuned from Kapsabet, #Nipashewikendi",dariuskpkosgei1
2021-11-21 16:06:06+00:00,1462452270491226117,"@citizentvkenya @LuluHassan Heko Heko kwa serikali @citizentvkenya @LuluHassan Watching from Kaboi kiptulus Nandi
Naunga mkono chanjo ikuwe lazima kwa kila mtu hapa Nchini #NipasheWikendi",Chesingak
2021-11-21 16:04:31+00:00,1462451870996250628,"Heko Heko kwa serikali @citizentvkenya @LuluHassan Watching from Kaboi kiptulus Nandi
Naunga mkono chanjo ikuwe lazima kwa kila mtu hapa Nchini #NipasheWikendi",Chesingak
2021-11-21 16:03:49+00:00,1462451695372451846,"@LuluHassan @citizentvkenya @LuluHassan Watching from Kaboi kiptulus Nandi
Naunga mkono chanjo ikuwe lazima kwa kila mtu hapa Nchini #NipasheWikendi",Chesingak
2021-11-21 16:03:28+00:00,1462451605505294336,"@citizentvkenya @LuluHassan Watching from Kaboi kiptulus Nandi
Naunga mkono chanjo ikuwe lazima kwa kila mtu hapa Nchini #NipasheWikendi",Chesingak
2021-11-14 16:26:24+00:00,1459920660881461256,@citizentvkenya @LuluHassan @RashidAbdalla Following from Njoro Sub County #NipasheWikendi,AludaMika
2021-11-14 16:15:54+00:00,1459918018704723973,@citizentvkenya @LuluHassan @RashidAbdalla Watching from Njoro Sub County #NipasheWikendi,AludaMika
2021-11-14 16:02:05+00:00,1459914541584814084,"#NipasheWikendi mm kura sioni maana juu tutabakia kuwa vile vile hamna lolote wanatusaidia , gase imepanda hadi 1400ksh kurefill 6kg from 600ksh @LuluHassan @RashidAbdalla",EliasMatiba
2021-11-13 16:27:57+00:00,1459558664075943941,"@citizentvkenya @LuluHassan @RashidAbdalla Kwa maoni Yangu kama Denoo Pogba kipkazi nafikiria si lazima umuoe kwa sababu unaesamwoa na humpendi tena bora tu mtoto apatiwe malezi mazuri watching live from kimose°°, #nipashewikendi",DenooPogba6
2021-11-13 16:16:40+00:00,1459555825589137413,@citizentvkenya Following from Njoro Sub County #NipasheWikendi,AludaMika
2021-11-13 16:14:25+00:00,1459555256585576452,@citizentvkenya @LuluHassan @RashidAbdalla Kwa maoni si lazima umuoe kwa sababu unaesamwoa na humpendi tena bora tu mtoto apatiwe malezi mazuri watching live from kimose near Emining °° #Nipashewikendi,DenooPogba6
2021-11-13 16:04:13+00:00,1459552691089199116,"@citizentvkenya @LuluHassan @RashidAbdalla Kwa maoni yangu kama Denoo Pogba kipkazi nafikiria si lazima bora to mtoto apatiwe malezi mazuri, watching live from kimose near Emining #Nipashewikendi",DenooPogba6
2021-11-06 16:24:07+00:00,1457020984653910020,@citizentvkenya Watching from Njoro Sub County #NipasheWikendi,AludaMika
2021-10-30 16:30:54+00:00,1454485974591881217,@citizentvkenya Mila zinaathiri ndoa vizuri Sana @LuluHassan  Mimi Ni mmoja wa waathiriwa na sifurahii hizo Mila kabisa #NipasheWikendi watching from mombasa,MercyMo54486363
2021-10-30 12:27:06+00:00,1454424620375883784,"#Nipashewikendi
Yes mila za jamii zinaezaathiri ndoa ,kwa mfano watu wengine hasaa western msichana mkwe haifai kusalimia baba mkwe ,,,incase she does she can be excommunicated from that family",mulongo_kelvin
2021-10-23 16:02:48+00:00,1451942191409078273,"@citizentvkenya @LuluHassan @RashidAbdalla sisi wenye atujafika kwa Ndoa wacha tusikie mawaidaa ,, watching citizen News from Endebess #NipasheWikendi",Chesongol_J
2021-10-23 16:00:15+00:00,1451941549588324356,#NipasheWikendi husband and wife staying away from one another and meeting regularly is good cz it increase relationship..,Ismail25972649
2021-10-16 16:02:02+00:00,1449405281423687682,@citizentvkenya #Nipashewikendi @citizentvkenya @LuluHassan @RashidAbdalla Huyo mume akubaliwe sababu alienda kutafuta ili familia yake isikose. Ng'ombe akivunjika mguu hurudi zizini. Watching from Diospora.,lucasgwaro
2021-10-09 20:59:31+00:00,1446943429926264835,"Raila says if he will be elected every youth will be employed and if not he will receive monthly salary ....why go to work if I can still earn without working ...
Ogopeni huyu mganga...run away from him...!!!!
@citizentvkenya 
#NipasheWikendi",brigediasteve
2021-10-03 16:03:47+00:00,1444694678599786508,@citizentvkenya Watching live from Bungoma #NipasheWikendi,MeshackMusamali
2021-10-02 16:45:33+00:00,1444342803451031554,"@MutugiMurithi3 @citizentvkenya @LuluHassan @RashidAbdalla Kazi ya mwanamke katika nyumba huwezi ukailipa. Rashid, bila wake, hatupo. Taja bei Basi! 
Heshima yatosha!
Watching from Githurai 45.
#NipasheWikendi",felix_wamalika
